name,artist,theme,lyrics
Sex and Taxes,The Greeting Committee,crush,Im just watching her hands move. Tracing lines on my thighs Like she was drawn to Dont you move til the moments through. She said The moment is now What are you gonna do? She talks dirty in my ear Knows how she wants it Shes got me thinking Of living inside of sex and taxes She goes down Like lovin is just a bad habit. Never had it this bad Like she has to have it Nobody does what you do. I do anything for you I live inside a video She turns on when shes turned on and Im gone Ill be back for you dont you know? Think I left myself somewhere On your bedroom floor She talks dirty in my ear Knows how she wants it Shes got me thinking Of living inside of sex and taxes She goes down Like lovin is just a bad habit. Never had it this bad Like she has to have it Nobody does what you do. I do anything for you
Sex With My Ex,FLETCHER,exes,I know its been a couple months yeah we should meet up Ill meet you downstairs at the Subway station Oohooh We dont gotta talk about us how we messed it up We could keep it light just a conversation No expectation Just a one minute walk And its just two blocks And three drinks later Youre back in my arms I just had sex with my ex in a New York apartment Ah Now Im a mess Im obsessed Im right back where I started brokenhearted Every time you call me Ill pick up again Back into my feelings back into your bed Ohoh I just had sex with my ex in a New York apartment Ooh I thought itd be harmless Gotta catch my flight but I want more time Gimme one more night to be wrapped up in you Oohooh And I know that Im losing my mind And it feels like Im losing you twice Is it worth the price? What have I gotten into? Just a one minute walk And its just two blocks And three drinks later Youre back in my arms I just had sex with my ex in a New York apartment Ah Now Im a mess Im obsessed Im right back where I started brokenhearted Every time you call me Ill pick up again Back into my feelings back into your bed Ohoh I just had sex with my ex in a New York apartment Oohooh I thought itd be harmless Hmmhmm I thought itd be harmless Hmmhmm So we kiss goodnight and I catch that flight Say goodbye forever until next time
She,dodie,unrequited,Am I allowed to look at her like that Could it be wrong when shes just so nice to look at And she smells like lemongrass and sleep She tastes like apple juice and peach Oh you would find her in a polaroid picture And she means everything to me Oh Id never tell No Id never say a word And oh it aches But it feels oddly good to hurt She smells like lemongrass and sleep She tastes like apple juice and peach Oh you would find her in a polaroid picture And she means everything to me Oh oh Oh oh and Ill be okay Admiring from afar Cause even when shes next to me We could not be more far apart Cause she tastes like birthday cake and storytime and fall But to her I taste of nothing at all And she smells like lemongrass and sleep She tastes like apple juice and peach You would find her in a polaroid picture And she means everything to me Yes she means everything to me She means everything to me.
She Gets the Flowers,Beth McCarthy,jealousy,"Tell me what she has that I don't Why you were so fast to let go of us? 'Cause she's all you wanted When it was my heart you didn't want it Why wasn't I cast in your show? 'Cause I gave you everything And all my friends are saying it's you, it's not me Wish I could believe them But she gets the flowers, right? The posts made about her A love that is perfect, a love I deserved, yeah A love that I gave I got excuses and you got to use this Leave me in the dust with nothing and just walk away But she gets the flowers, right? She gets the flowers Tell me why I wasn't enough After all that I gave up for you Was it too much to ask? For just a part of what I gave you back, oh-ooh-oh Why was I so hard to love? (So hard to love) And you found your person Oh, there's nothing worse than knowing she's happy The way I wanted to be And she gets the flowers, right? The posts made about her A love that is perfect, a love I deserved, yeah A love that I gave I got excuses, you got to use this Leave me in the dust with nothing and just walk away And she gets the flowers, right? Yes, she gets the flowers Oh, oh, oh Do her eyes look better when they shine? Do her lips taste sweeter than mine? Does she look prettier when she cries? Was I just too hard to handle? Too emotionally unstable? You don't want me And I can't change your mind She gets the flowers, right? The posts made about her A love that is perfect, a love I deserved, yeah A love that I gave I got excuses, you got to use this Leave me in the dust with nothing and just walk away And she gets the flowers, right?"
She Likes Another Boy,Oscar Lang,unrequited,"Oh no, she likes another boy And I'm feeling sad And at the end of the day I'll know there was something that we had I see her kiss him with my eyes And it makes me mad But at the end of the day I know she don't love him that bad And if that's so I'll wait around 'Cause it will take a little time to let you go I watch her from across the room She dances so nice And if I see her again I'm not so sure we'll just be friends I want to get a little close So let me in And if you push me away Baby, that's where I'll stay And if that's so I'll wait around 'Cause it will take a little time to let you go And if that's so I'll wait around 'Cause it will take a little time to let you go And if that's so I'll wait around 'Cause it will take a little time to let you go"
She Needs Him,Her's,unrequited,I thought you left alone last night Put to bed my greatest fear I know I dont reserve the right But by simply hoping hes not here Please dont say that youve seen him Shes probably got her life laid out Just let me dream a little more My heart takes up all my strength No more can I think of them No more can I hold her in my thoughts Dont say that she needs him That she needs him That she needs him He probably lives alone you know How am I ever to compare? Oh why cant she be alone for good So I can dream and never dare? Please dont say that youve seen him Shes probably got her life laid out Just let me dream a little more My heart takes up all my strength No more can I think of them No more can I hold her in my thoughts Dont say that she needs him That she needs him Nobody knows I wish she could Holding me close As if she would Nobody knows I wish she could Holding me close Holding me close My heart takes up all my strength No more can I think of them No more can I hold her in my thoughts Dont say that she needs him That he needs her I want her to know He dont have it all I want her to know He dont have it all I want her to know He dont have it all I want her to know He dont have it all I want her to know He dont have it all I want her to know He dont have it all I want her to know He dont have it all I want her to know He dont have it all
she's all I wanna be,Tate McRae,jealousy,"You want the girl with the small waist And the perfect smile Someone who's out every week day In her dad's new car You tell me I shouldn't stress out Say it's not that hard But I just got a feelin' This'll leave an ugly scar If you say she's nothing to worry about Then why'd you close your eyes when you said it out loud? Stupid boy makin' me so sad Didn't think you could change this fast She's got everything that I don't have How could I ever compete with that? I know you'll go and change your mind One day wake up and be bored with mine She's got everything that I don't have And she's all I wanna be All I wanna be so bad So bad She's got everything that I don't have, mm You want someone you can show off Whenever you go out She'll wear a tight mini black dress With all her friends around And then you'll probably spend the night at Her nice big house And by then, I'll just be someone You've forgotten about, oh If you say she's nothing to worry about Then why'd you close your eyes when you said it out loud? Stupid boy makin' me so sad Didn't think you could change this fast She's got everything that I don't have How could I ever compete with that? I know you'll go and change your mind One day wake up and be bored with mine She's got everything that I don't have And she's all I wanna be All I wanna be so bad So bad She's got everything that I don't have And she's all I wanna be All I wanna be Ooh (ooh) (Ooh) She's all I wanna be so bad (Ooh) Oh (ooh) Stupid boy makin' me so sad Didn't think it would hurt this bad She's got everything that I don't have How could I ever compete with that? I know you'll go and change your mind One day wake up and be bored with mine She's got everything that I don't have And she's all I wanna be All I wanna be so bad All I wanna be so bad She's got everything that I don't have And she's all I wanna be All I wanna be so bad"
She's Always a Woman,Billy Joel,toxic relationship,"She can kill with a smile, she can wound with her eyes And she can ruin your faith with her casual lies And she only reveals what she wants you to see She hides like a child but she's always a woman to me She can lead you to love, she can take you or leave you She can ask for the truth but she'll never believe you And she'll take what you give her as long as it's free Yeah, she steals like a thief, but she's always a woman to me Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, and she never gives out and she never gives in She just changes her mind And she'll promise you more than the garden of Eden Then she'll carelessly cut you and laugh while you're bleeding But she'll bring out the best and the worst you can be Blame it all on yourself 'cause she's always a woman to me Mmm-mmm, mmm-mmm Mmm-mmm, mmm-mmm-mmm-mmm Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, and she never gives out and she never gives in She just changes her mind She is frequently kind and she's suddenly cruel But she can do as she pleases, she's nobody's fool And she can't be convicted, she's earned her degree And the most she will do is throw shadows at you But she's always a woman to me Mmm-mmm, mmm-mmm Mmm-mmm, mmm-mmm-mmm-mmm"
She's Not Me (Part 1),Zara Larsson,jealousy,"She doesn't love you, like I do She doesn't have my name How ever she tries, to act like it She'll never be the same But she's new, she's beautiful You've never been in a fight Oh yeah, it's awfully perfect now But you just know deep inside She's not me She's not me She's not me Baby, she's not me Does she make you feel wanted, like I did? Make you feel like you're the one thing that matters? You let her head rest on your chest But when you close your eyes You'll be seeing my face again I'll be crossing your mind You'll be dreaming of places we went And then you'll wake up to find That she's not me She's not me She's not me Remember, that she's not me, yeah Mmh, ooh yeah She's not me She's not me"
She's So Gone,Naomi Scott,growth,"Insecure in her skin Like a puppet, a girl on a string Broke away, learned to fly If you want her back, gotta let her shine So it looks like the joke's on you 'Cause, the girl that you thought you knew She's so gone (she's so gone) That's so over now She's so gone (she's so gone) You won't find her around You can look but you won't see The girl I used to be 'Cause she, she's so gone (She's so gone, yeah) Here I am, this is me And I'm stronger than you ever thought I'd be Are you shocked? Are you mad? That you're missing out on who I really am Now it looks like the joke's on you 'Cause, the girl that you thought you knew She's so gone (she's so gone) That's so over now She's so gone (she's so gone) You won't find her around You can look but you won't see The girl I used to be 'Cause she She's so gone away like history She's so gone Baby, this is me, yeah She's so gone (she's so gone) That's so over now She's so gone (she's so gone) You won't find her around You can look but you won't see The girl I used to be 'Cause she, she's so gone (she's so gone) She's so gone (she's so gone) You can look but you won't see The girl I used to be 'Cause she, she's so gone"
Should've Been Me,Mitski,jealousy,Well I went through my list of friends And found I had no one to tell Of this overwhelming clean feeling strange serenity When I saw the girl looked just like me And it broke my heart The lengths you went to hold me To get to have me Cause I havent given you what you need You wanted me but couldnt reach me So you went into your memory Relive all the ways you still want me I havent given you what you need You wanted me but couldnt reach me Im sorry it shouldve been me Id be going bout my day until a hand Would come and lift me out And drop me in the middle of a labyrinth where Id be stuck a while When I saw the girl looked just like me I thought Must be lonely loving someone Tryna to find their way out of a maze Oh I know I havent given you what you need You wanted me but couldnt reach me So you went into your memory Relive all the ways you still want me I havent given you what you need You wanted me but couldnt reach me Im sorry it shouldve been me Im sorry it shouldve been me
Shout Out to My Ex,Little Mix,exes,This is a shout out to my ex Heard he in love with some other chick Yeah yeah that hurt me Ill admit Forget that boy Im over it I hope she gettin better sex Hope she aint fakin it like I did babe Took four long years to call it quits Forget that boy Im over it Guess I should say thank you For the hate yous and the tattoos Oh baby Im cool by the way Aint sure I loved you anyway Go head babe Ima live my life my life yeah Shout out to my ex youre really quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Well I Im all the way up I swear youll never bring me down Shout out to my ex youre really quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Well Im Im all the way up I swear youll never youll never bring me down Oh I deleted all your pics Then blocked your number from my phone mm Yeah yeah you took all you could get But you aint gettin this love no more Cause now Im living so legit so legit Even though you broke my heart in two baby But I snapped right back Im so brand new baby Im so brand new Boy read my lips Im over you over you uh Guess I should say thank you For the hate yous and the tattoos Oh baby Im cool by the way Aint sure I loved you anyway Go head babe Ima live my life my life yeah Shout out to my ex youre really quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Well Im Im all the way up I swear youll never bring me down Shout out to my ex youre really quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Well Im Im all the way up I swear youll never youll never bring me down Youll never bring me down oohoohoh yeah Shout out to my ex youre really quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Well Im all the way up I swear youll never youll never bring me down Shout out to my ex youre really quite the man Youre quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Well Im Im all the way up I swear youll never bring me down Youll never bring me down Shout out to my ex youre really quite the man You made my heart break and that made me who I am Heres to my ex hey look at me now Wont you just look at me now Well Im all the way up I swear youll never youll never bring me down Oh oh ohohoh Oh oh ohohoh Oh oh ohohoh Oh oh ohohoh Yeah hey oh Oh oh ohohoh Oh oh ohohoh Oh nah nah Ohoh ohoh ohoh ohoh ohoh Youll never bring me down
Sibling Song,Sarah Gross,growing up,House is gettinng quiet Someone wants to buy it Cardboard boxes and front door locks Happened faster than I could deny   it   Well mama's been taking it day by day Nothing left in a once full nest Least she's taking back her Sundays     Someone's getting married Someone's getting buried And when Ron crossed the line over age twenty nine I cried   Well I'm still here by the railroad tracks There's a road side bar where I play guitar And the songs we wrote on the back deck     So why am I trying to leave this place So fast I never got better I only grew distant And never got stronger I only grew thick skin         Called my older brother We haven't seen each other since Christmas   It's March now Well I'm playing Ridgewood tonight If you're around   God it's been forever Glad you're doing better Since I ran you out of this town   You moved into the city Your new girl's mighty pretty I think she's one of us now     You only stay so much But I never listen And I would say sorry But you know I don't give in Well not that that matters   Driving in the old cruiser We can pretend we're all big shots But I hope you're a loser             Taking off this town         Don't give only Shirley         You make me be older           When it's in my nature book
side effects,Shura,moving on,I can touch the ceiling with my feet I can I can Hidden from the street with you and I know this is not our place But we can always live as if it is we can we can Paris is a dream come true And we dont even need to explore I got out I got free you dont got no hold on me I dont feel no side effects when youre gone I want love I got some thank god it isnt what it was I dont feel no side effects when youre gone When youre gone when youre gone When youre gone when youre gone gone gone I can touch the ceiling with my feet I can I can Lying by the sea with you and I know this is not our place But we can always swim as if it is weekend weekend Damn this is a dream come true And we dont we even need to explore I got out I got free you dont got no hold on me I dont feel no side effects when youre gone I want love I got some thank god it isnt what it was I dont feel no side effects when youre gone When youre gone when youre gone When youre gone when youre gone gone gone What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good So good so good Minus thirteen we were sleeping in all of our clothes Air streaming beautiful so fucking beautiful I just fell in love What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good What it is what it is what it is its so good So good so good
Since U Been Gone,Kelly Clarkson,moving on,"Here's the thing we started off friends It was cool but it was all pretend Yeah yeah Since you've been gone You dedicated you took the time Wasn't long till I called you mine Yeah yeah Since you've been gone And all you'd ever hear me say Is how I pictured me with you That's all you'd ever hear me say But since you've been gone I can breathe for the first time I'm so movin' on, yeah yeah Thanks to you now I get what I want Since you've been gone How can I put it? You put me on I even fell for that stupid love song Yeah yeah Since you've been gone How come I'd never hear you say? ?I just wanna be with you? I guess you never felt that way But since you've been gone I can breathe for the first time I'm so movin' on, yeah yeah Thanks to you now I get, I get what I want Since you've been gone You had your chance you blew it Out of sight, out of mind Shut your mouth I just can't take it Again and again and again and again Since you've been gone (Since you've been gone) I can breathe for the first time I'm so movin' on, yeah yeah Thanks to you (Thanks to you) Now I get, I get what I want I can breathe for the first time I'm so movin' on, yeah yeah Thanks to you (Thanks to you) Now I get (I get) You should know (You should know) That I get, I get what I want Since you've been gone Since you've been gone Since you've been gone"
Single Ladies (Put a Ring on It),Beyoncé,empowerment,"All the single ladies, all the single ladies All the single ladies, all the single ladies All the single ladies, all the single ladies All the single ladies Now put your hands up Up in the club, we just broke up I'm doing my own little thing Decided to dip and now you wanna trip Cause another brother noticed me I'm up on him, he up on me Don't pay him any attention Just cried my tears, for three good years Ya can't be mad at me Cause if you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it Oh, oh, oh, oh, oh, oh, oh, o-ohh Oh, oh, oh, oh, oh, oh, oh, o-ohh If you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it I got gloss on my lips, a man on my hips Got me tighter in my Dereon jeans Acting up, drink in my cup I can care less what you think I need no permission, did I mention Don't pay him any attention Cause you had your turn and now you gonna learn What it really feels like to miss me Cause if you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh If you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it Oh, oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh Don't treat me to the things of the world I'm not that kind of girl Your love is what I prefer, what I deserve Here's a man that makes me then takes me And delivers me to a destiny, to infinity and beyond Pull me into your arms, say I'm the one you want If you don't, you'll be alone And like a ghost I'll be gone All the single ladies, all the single ladies All the single ladies, all the single ladies All the single ladies, all the single ladies All the single ladies Now put your hands up, oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh Cause if you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it Oh, oh, oh If you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it Oh, oh, oh"
Slut!,Taylor Swift,love,Flamingo pink Sunrise Boulevard Clink clink Being this young is art Aquamarine Moonlit swimming pool What if all I need is you? Got lovestruck went straight to my head Got lovesick all over my bed Love to think youll never forget Handprints in wet cement Adorned with smoke on my clothes Lovelorn and nobody knows Love thorns all over this rose Ill pay the price you wont But if Im all dressed up They might as well be looking at us And if they call me a slut You know it might be worth it for once And if Im gonna be drunk Might as well be drunk in love Send the code hes waiting there The sticks and stones they throw froze midair Everyone wants him That was my crime The wrong place at the right time And I break down then hes pullin me in In a world of boys hes a gentleman Got lovestruck went straight to my head Got lovesick all over my bed Love to think youll never forget Well pay the price I guess But if Im all dressed up They might as well be looking at us If they call me a slut You know it might be worth it for once And if Im gonna be drunk I might as well be drunk in love Half asleep Taking your time In the tangerine neon light This is luxury Youre not saying youre in love with me But youre going to Half awake Taking your chance Its a big mistake I said it might blow up in your pretty face Im not saying do it anyway But youre going to And if they call me a slut You know it might be worth it for once And if Im gonna be drunk Might as well be drunk in love
Smile,Lily Allen,hate,When you first left me I was wanting more But you were fucking that girl next door Whatd you do that for? Whatd you do that for? When you first left me I didnt know what to say Ive never been on my own that way Just sat by myself all day I was so lost back then But with a little help from my friends I found the light in the tunnel at the end Now youre calling me up on the phone So you can have a little whine and a moan And its only because youre feeling alone At first when I see you cry Yeah it makes me smile Yeah it makes me smile At worst I feel bad for a while But then I just smile I go ahead and smile Whenever you see me You say that you want me back want me back And I tell you it dont mean jack it dont mean jack No it dont mean jack no it dont mean jack I couldnt stop laughing No I just couldnt help myself See you messed up my mental health I was quite unwell I was so lost back then But with a little help from my friends I found the light in the tunnel at the end Now youre calling me up on the phone So you can have a little whine and a moan Its only because youre feeling alone At first when I see you cry Yeah it makes me smile Yeah it makes me smile At worst I feel bad for a while But then I just smile I go ahead and smile Lalala lalala lalala lalala Lalala lalala lalala lalala Lalala lalala lalala lalala lalala At first when I see you cry Yeah it makes me smile Yeah it makes me smile At worst I feel bad for a while But then I just smile I go ahead and smile At first when I see you cry I see you cry Yeah it makes me smile makes me smile Yeah it makes me smile it makes me smile At worst I feel bad for a while feel bad for a while But then I just smile but then I just smile I go ahead and smile I go ahead and smile
Smiley,BETWEEN FRIENDS,love,I really wanna tell you this Youre like a song I cant resist I cant believe youre just for me I say it all the time You try to talk like youre in The Smiths And I would lie if you looked like shit You burn for me like thirddegree You say you mean it We got all the time in the world What you need? Nicotine? Yeah Used to drive around when wed stall Make a scene make a scene Do you like the way I talk about you all day? Wanna hear you say You talk about me all the time Do you like the way I talk about you all day? Wanna hear you say You talk about me all the time I like your eyes when theyre in the sun Im stuck to you and you know its fun I wanna be where you wanna be I say it all the time I try to do what I wanna do But every time it ends with you You feel for me like LSD And I believe it yeah I believed it We had all the time in the world What you need? Nicotine? Yeah Used to drive around when wed stall Make a scene make a scene Do you like the way I talk about you all day? Wanna hear you say You talk about me all the time Do you like the way I talk about you all day? Wanna hear you say You talk about me all the time Is it wrong if it feels right? Dont you wanna stay and do it all night? Is it wrong if it feels right? Dont you wanna stay and do it all night? Do you like the way I talk about you all day? Wanna hear you say You talk about me all the time Do you like the way I talk about you all day? Wanna hear you say You talk about me all the time Clear Youve been my mind all night Its so clear Youve been my mind all night Its so
Snow On The Beach,Taylor Swift,love,One night a few moons ago I saw flecks of what couldve been lights But it might just have been you Passing by unbeknownst to me Life is emotionally abusive And time cant stop me quite like you did And my flight was awful thanks for asking Im unglued thanks to you And its like snow at the beach Weird but fuckin beautiful Flying in a dream stars by the pocketful You wanting me tonight feels impossible But its comin down no sound its all around Like snow on the beach Like snow on the beach Like snow on the beach Like snow oh oh oh This scene feels like what I once saw on a screen I searched aurora borealis green Ive never seen someone lit from within Blurring out my periphery My smile is like I won a contest And to hide that would be so dishonest And its fine to fake it til you make it Til you do til its true Now its like snow at the beach Weird but fuckin beautiful Flying in a dream stars by the pocketful You wanting me tonight feels impossible But its comin down no sound its all around Like snow on the beach Like snow on the beach Like snow on the beach Like snow oh oh oh I I cant cant speak afraid to jinx it I I dont dont even dare to wish it But your eyes are flying saucers from another planet Now Im all for you like Janet Can this be a real thing? Can it? Are we falling like snow at the beach? Snow at the beach Weird but fuckin beautiful Flying in a dream stars by the pocketful flying in a dream You wanting me tonight feels impossible you wanting me But its comin down no sound its all around Like snow on the beach snow on the beach Like snow on the beach flying in a dream Like snow on the beach you wanting me Like snow oh But its comin down no sound its all around Like snow on the beach its comin down its comin down Its comin down its comin down Like snow on the beach Its comin down its comin down its comin down its comin down Its comin down its comin down its comin down its comin down Comin down its comin down its comin down its comin down
So High School,Taylor Swift,love,I feel so high school every time I look at you I wanna find you in a crowd just to hide from you And in a blink of a crinkling eye Im sinking our fingers entwined Cheeks pink in the twinkling lights Tell me bout the first time you saw me Ill drink what you think and Im high From smoking your jokes all damn night The brink of a wrinkle in time Bittersweet sixteen suddenly Im watching American Pie with you on a Saturday night Your friends are around so be quiet Im trying to stifle my sighs Cause I feel so high school every time I look at you But look at you Ahahahahah Are you gonna marry kiss or kill me? Kill me Its just a game but really really Im bettin on all three for us two all three Get my car door isnt that sweet? That sweet Then pull me to the backseat backseat No ones ever had me had me not like you Truth dare spin bottles You know how to ball I know Aristotle Brand new fullthrottle Touch me while your bros play Grand Theft Auto Its true swear scouts honor You knew what you wanted and boy you got her Brandnew fullthrottle You already know babe I feel like laughing in the middle of practice Do that impression you did of your dad again Im hearing voices like a madman And in a blink of a crinkling eye Im sinking our fingers entwined Cheeks pink in the twinkling lights Tell me bout the first time you saw me Ill drink what you think and Im high From smoking your jokes all damn night The brink of a wrinkle in time Bittersweet sixteen suddenly Im watching American Pie with you on a Saturday night Your friends are around so be quiet Im trying to stifle my sighs Cause I feel so high school I feel so high school Every time I look at you But look at you Truth dare spin bottles yeah You know how to ball I know Aristotle Brand new fullthrottle yeah Touch me while your bros play Grand Theft Auto Its true swear scouts honor yeah You knew what you wanted and boy you got her Brand new fullthrottle yeah You already know babe You already know babe
So It Must Be True,The Greeting Committee,heartbreak,Back to the wall This record is one long sigh I laid it out Say Cry baby baby gotta cry Going all Julian Getting kind of cruel with it Heres your love song You only get one cause you pissed me off Heres your love song Cause its what everybody wants Im still falling if its falling apart Oh Im still falling for you Baby got mean baby broke my heart Baby Im still calling for you So it must be true It must be true All good comes in twos or so they say Or is it in threes and thats why it never happens for me? Well honey here it comes Indifference from the top Heres your love song You only get one cause you pissed me off Heres your love song Cause its what everybody wants Im still falling if its falling apart Oh Im still falling for you Baby got mean baby broke my heart Baby Im still calling for you So it must be true It must be true Heres your love song You only get one cause you pissed me off
Sofia,Clairo,forbidden love,I think we could do it if we tried If only to say youre mine Sofia know that you and I Shouldnt feel like a crime I think we could do it if we tried If only to say youre mine Sofia know that you and I Shouldnt feel like a crime You know Ill do anything you ask me to But oh my God I think Im in love with you Standin here alone now think that we can drive around I just wanna say how I love you with your hair down Baby you dont gotta fight Ill be here til the end of time Wishin that you were mine pull you in its alright I think we could do it if we tried If only to say youre mine Sofia know that you and I Shouldnt feel like a crime Honey I dont want it to fade Theres things that I know could get in the way I dont want to say goodbye And I think that we could do it if we tried I think we could do it if we tried If only to say youre mine Sofia know that you and I Shouldnt feel like a crime I think we could do it I think we could I think we could do it if if if If we tried we could we could youre mine I think we could do it Sofia know that you you you and I If we tried shouldnt feel like a crime Sofia know that you and I I think we could I think we could do it we could we could Shouldnt feel like a crime do it do it youre mine get in the way Sofia know that you and I Sofia know that you you you and I shouldnt feel Oh oh like a crime do it if we tried
Softly,Clairo,crush,Is it alright To feel this way so early? And in my blood All the sweet nothings fallin in love overnight Didnt mean to get so close And I know that I should probably go But I got this feeling Tell me girl I gotta know Touch you softly I call you up late at night Know that it isnt right But you could be my one and only You get me in the mood Know what Im tryna do Do you think that we can move Closer baby? I want you Yeah yeah And all my life Been wanting this forever oh And in my mind Think of ways to ask you Why dont you come over sometime? Didnt mean to get so close And I know that I should probably go But I got this feeling Tell me girl I gotta know Touch you softly I call you up late at night Know that it isnt right But you could be my one and only You get me in the mood Know what Im tryna do Do you think that we can move Closer baby? I want you Yeah yeah And I dont care what they say And I dont care what they say Care what they say to me Im doing it differently Baby Im doing it differently
Somebody That I Used To Know,Gotye,heartbreak,Now and then I think of when we were together Like when you said you felt so happy you could die Told myself that you were right for me But felt so lonely in your company But that was love and its an ache I still remember You can get addicted to a certain kind of sadness Like resignation to the end always the end So when we found that we could not make sense Well you said that we would still be friends But Ill admit that I was glad it was over But you didnt have to cut me off Make out like it never happened and that we were nothing And I dont even need your love But you treat me like a stranger and that feels so rough No you didnt have to stoop so low Have your friends collect your records and then change your number I guess that I dont need that though Now youre just somebody that I used to know Now youre just somebody that I used to know Now youre just somebody that I used to know Now and then I think of all the times you screwed me over But had me believing it was always something that Id done And I dont wanna live that way Reading into every word you say You said that you could let it go And I wouldnt catch you hung up on somebody that you used to know But you didnt have to cut me off Make out like it never happened and that we were nothing aahooh And I dont even need your love ooh But you treat me like a stranger and that feels so rough aah No you didnt have to stoop so low ooh Have your friends collect your records and then change your number aah I guess that I dont need that though Now youre just somebody that I used to know Somebody I used to know Somebody now youre just somebody that I used to know Somebody I used to know Somebody now youre just somebody that I used to know I used to know That I used to know I used to know Somebody
Someone New,BANKS,situationship,I can love you desperately though your love aint guaranteed Oh I wish you knew the deal Gotta learn from far away And I simply needed space Space for me to be and I think you need it too Though I know you call me selfish for assuming I did this for you too You still got me round your finger Even though Im far away Please believe me when I say Everything I do Im gonna think of you Dont know what else to do You got me you got me baby Everything I make I only make for you Baby be patient for me And please dont fall in love with someone new I promise one day Ill come back for you Oh you say you hate me now And you burn me with your words Callin me a fool Saying that Ive fucked up everything And youll never forgive me Though Im doin this for you Baby cant you see if there is such a thing of loving Someone so much that you need To give them time to let them breathe But you dont understand I wish you understood Oh I hope one day you do Everything I do Im gonna think of you Dont know what else to do You got me you got me baby Everything I make I only make for you Baby be patient for me And please dont fall in love with someone new I promise one day Ill come back for you Believe in you believe in me Were meant to be together I told you werent lyin I know you arent relyin And now I am supplyin you the time and space To let you grow into the person that I know That I know you could be And I can be her too and Ill come back to you When Im ready for you baby I aint ready for you now Im not ready for you now please dont hate me Everything I do Im gonna think of you Dont know what else to do You got me you got me baby Everything I make Im gonna make for you Baby be patient for me And please dont fall in love with someone new I promise one day Ill come back to you I promise one day Ill come back to you I promise one day Ill come back to you I promise baby one day Ill come back to you I promise baby one day Ill come back to you
Someone That Loves You,Honne,forbidden love,"Touch me, touch me, touch me You have someone that loves you Whoever said it was easy must have had it pretty good Must have had it pretty good I want you, boy, just to please me Don't tell me that you could, don't tell me that you could It's beautiful in a way we move But what's a girl to do when you can't seem to choose? You're beautiful but your mind's restrained When your mind is split two ways is when the comedown plays Don't touch me Boy, I want you Not allowed to You have someone that loves you I'm waiting And I'm patient I'm deluded You have someone that loves you Touch me, touch me, touch me, touch me You have someone that loves you You want me close so I hear you I thought I made it clear, don't whisper in my ear My heart, it keeps getting weaker I know you want me near, but your love is what I fear It's beautiful the way you move But what's a boy to do when he can't seem to choose? Yeah, I'm beautiful, but I must explain My mind's not in a good place, and so the comedown plays Don't touch me Boy, I want you Not allowed to You have someone that loves you I'm waiting And I'm patient I'm deluded You have someone that loves you Don't touch me Boy, I want you Not allowed to You have someone that loves you I'm waiting And I'm patient I feel stupid When you have someone that loves you That loves you Yeah, she loves you too The way that I do Don't touch me Boy, I want you Not allowed to You have someone that loves you I'm waiting And I'm patient I'm deluded You have someone that loves you Don't touch me Boy, I want you Not allowed to You have someone that loves you I'm waiting And I'm patient I feel stupid When you have someone that loves you That loves you When you have someone that loves you That loves you When you have someone that loves you That loves you When you have someone that loves you That loves you When you have someone that loves you"
